OBJECTID,InclProb,X,Y,ID
99,1,380191.5,5811986,170
100,0.51133132,353656.5,5821136,171
101,0.170918092,388936.5,5821526,172
102,1,367456.5,5805821,177
103,0.050122023,361966.5,5804651,178
104,1,354421.5,5828831,183
105,0.049648788,387406.5,5809316,186
106,1,360616.5,5836991,187
107,1,351271.5,5824946,188
108,0.102317415,356326.5,5806886,189
109,1,363031.5,5826911,190
110,1,372826.5,5809151,192
111,1,358831.5,5833856,194
112,0.425200403,365191.5,5801816,196
113,1,378496.5,5814671,200
114,1,354751.5,5819261,201
115,1,370291.5,5832941,203
116,0.048216399,360691.5,5828231,205
117,1,369811.5,5817176,206
118,1,368041.5,5825231,207
119,0.457372308,372916.5,5817101,208
120,0.775114655,356386.5,5816801,211
121,0.692259729,352186.5,5815781,212
122,0.407094985,355546.5,5819756,213
123,0.048994511,389641.5,5823956,215
124,1,361951.5,5814566,217
125,1,358726.5,5830106,219
126,0.699271441,350806.5,5809211,220
127,1,361666.5,5835476,221
128,1,362941.5,5825891,225
129,0.047385596,356476.5,5848661,226
130,1,359506.5,5825936,227
131,1,362281.5,5828891,230
132,0.797582626,356956.5,5817071,235
133,0.737700105,354121.5,5818046,236
134,0.182802454,375766.5,5817146,238
135,1,355591.5,5824841,244
136,1,360031.5,5834486,247
137,1,351346.5,5823851,249
138,0.42426163,358546.5,5805761,250
139,0.049859595,349141.5,5850836,255
140,1,359836.5,5838086,256
141,0.085579276,367576.5,5833031,257
142,1,350866.5,5848541,258
143,0.581236362,370786.5,5831636,260
144,1,360091.5,5826371,261
145,0.746517062,353476.5,5813576,262
146,0.099653088,354721.5,5815901,268
147,0.087690525,356566.5,5820866,270
148,1,356176.5,5809676,273
149,1,360181.5,5813351,275
150,1,363421.5,5812286,276
151,0.325174749,350461.5,5816606,277
152,0.051810045,366556.5,5819741,279
153,0.04915319,387901.5,5808281,281
154,1,361501.5,5836046,284
155,0.047571775,353131.5,5825396,285
156,1,366286.5,5827541,287
157,1,373111.5,5808221,289
158,1,361816.5,5831486,291
159,1,380356.5,5811386,293
160,0.047385596,354421.5,5822306,294
161,0.254430264,358891.5,5817476,295
162,0.117262751,381241.5,5821541,296
163,1,362116.5,5826956,298
164,1,368986.5,5822816,300
165,1,358366.5,5836976,301
166,1,380821.5,5810486,304
167,1,357586.5,5828846,305
168,0.485910416,352126.5,5816681,306
169,1,354211.5,5829416,310
170,0.421725988,349081.5,5815631,313
171,1,356911.5,5824241,315
172,1,352381.5,5824646,318
173,0.047507044,385291.5,5822276,319
174,1,360646.5,5832041,320
175,0.230783775,386416.5,5820731,322
176,1,358951.5,5829596,323
177,1,367351.5,5824466,326
178,0.128311247,359521.5,5819756,329
179,0.500900626,373861.5,5817836,330
180,0.679308474,351031.5,5805101,331
181,1,358426.5,5834021,332
182,0.692464054,352801.5,5815526,334
183,1,365956.5,5804576,337
184,1,362236.5,5813381,338
185,0.548460484,356881.5,5831801,339
186,1,366046.5,5814641,340
187,1,381121.5,5817551,342
188,0.053874828,349711.5,5826866,344
189,0.523714364,355576.5,5814476,345
190,0.255395263,349621.5,5812721,348
191,1,359656.5,5825171,350
192,0.227795616,353491.5,5808731,351
193,0.27262944,352426.5,5821271,352
194,0.587006152,370081.5,5831396,353
195,1,361456.5,5829026,356
196,1,367801.5,5816351,357
197,1,365191.5,5830496,360
198,0.729890347,352726.5,5802716,361
199,1,378646.5,5809931,365
200,0.136459127,369316.5,5813831,366
201,0.420139462,355906.5,5808911,370
202,0.29870069,359566.5,5801846,372
203,1,374101.5,5814356,375
204,0.095182657,357871.5,5806586,379
205,0.047673788,371446.5,5808311,380
206,1,358891.5,5830586,382
207,0.798809588,363991.5,5817656,383
208,0.327778935,365206.5,5799551,386
209,1,366166.5,5826026,388
210,0.703740835,352396.5,5820401,391
211,0.049844202,369556.5,5807726,392
212,0.052678008,360436.5,5815676,393
213,0.077345371,355426.5,5797601,394
214,1,360076.5,5827931,395
215,1,368296.5,5817341,396
216,0.746549726,354001.5,5813441,398
217,0.050885584,355891.5,5835416,400
218,0.282250375,364681.5,5818586,404
219,0.248011693,356326.5,5809916,407
220,1,378616.5,5814746,412
221,1,361306.5,5830121,418
222,1,349996.5,5847176,423
223,1,357496.5,5796236,426
224,1,362281.5,5827271,427
225,0.65876931,351406.5,5813726,428
226,1,370096.5,5823536,429
227,0.048225712,377161.5,5819186,431
228,0.494498253,356926.5,5815031,434
229,0.052044101,349711.5,5821211,437
230,1,367366.5,5826311,438
231,0.157171085,362626.5,5812166,439
232,1,358021.5,5823266,441
233,1,371386.5,5814536,442
234,1,359656.5,5837591,443
235,0.051863879,364576.5,5809946,444
236,1,363001.5,5827421,445
237,1,364306.5,5815121,448
238,0.709219337,349336.5,5813621,450
239,1,364171.5,5823551,452
240,0.585372508,370246.5,5832221,454
241,0.050471909,354016.5,5797136,455
242,1,367501.5,5825756,457
243,0.0754712,360526.5,5819741,458
244,0.508659661,373711.5,5817341,459
245,1,357166.5,5835206,460
246,0.557611704,355756.5,5802986,463
247,0.715058208,356161.5,5818751,464
